Version,Date_of_report,Date_of_statistics,IC_admission_notification,IC_admission
1,7/2/2021 0:30,2/27/2020,0,0
1,7/2/2021 0:30,2/28/2020,0,0
1,7/2/2021 0:30,2/29/2020,0,1
1,7/2/2021 0:30,3/1/2020,0,1
1,7/2/2021 0:30,3/2/2020,0,0
1,7/2/2021 0:30,3/3/2020,0,2
1,7/2/2021 0:30,3/4/2020,0,3
1,7/2/2021 0:30,3/5/2020,0,1
1,7/2/2021 0:30,3/6/2020,0,4
1,7/2/2021 0:30,3/7/2020,0,3
1,7/2/2021 0:30,3/8/2020,0,5
1,7/2/2021 0:30,3/9/2020,0,7
1,7/2/2021 0:30,3/10/2020,0,9
1,7/2/2021 0:30,3/11/2020,0,10
1,7/2/2021 0:30,3/12/2020,0,23
1,7/2/2021 0:30,3/13/2020,0,14
1,7/2/2021 0:30,3/14/2020,0,20
1,7/2/2021 0:30,3/15/2020,0,28
1,7/2/2021 0:30,3/16/2020,0,33
1,7/2/2021 0:30,3/17/2020,0,35
1,7/2/2021 0:30,3/18/2020,0,56
1,7/2/2021 0:30,3/19/2020,0,66
1,7/2/2021 0:30,3/20/2020,0,83
1,7/2/2021 0:30,3/21/2020,0,80
1,7/2/2021 0:30,3/22/2020,0,73
1,7/2/2021 0:30,3/23/2020,0,98
1,7/2/2021 0:30,3/24/2020,613,112
1,7/2/2021 0:30,3/25/2020,132,120
1,7/2/2021 0:30,3/26/2020,115,110
1,7/2/2021 0:30,3/27/2020,110,115
1,7/2/2021 0:30,3/28/2020,115,103
1,7/2/2021 0:30,3/29/2020,88,92
1,7/2/2021 0:30,3/30/2020,122,127
1,7/2/2021 0:30,3/31/2020,109,113
1,7/2/2021 0:30,4/1/2020,77,76
1,7/2/2021 0:30,4/2/2020,86,96
1,7/2/2021 0:30,4/3/2020,98,77
1,7/2/2021 0:30,4/4/2020,59,64
1,7/2/2021 0:30,4/5/2020,73,75
1,7/2/2021 0:30,4/6/2020,55,61
1,7/2/2021 0:30,4/7/2020,73,60
1,7/2/2021 0:30,4/8/2020,60,59
1,7/2/2021 0:30,4/9/2020,88,52
1,7/2/2021 0:30,4/10/2020,56,50
1,7/2/2021 0:30,4/11/2020,23,28
1,7/2/2021 0:30,4/12/2020,35,33
1,7/2/2021 0:30,4/13/2020,37,45
1,7/2/2021 0:30,4/14/2020,44,36
1,7/2/2021 0:30,4/15/2020,45,24
1,7/2/2021 0:30,4/16/2020,34,30
1,7/2/2021 0:30,4/17/2020,25,26
1,7/2/2021 0:30,4/18/2020,18,19
1,7/2/2021 0:30,4/19/2020,20,20
1,7/2/2021 0:30,4/20/2020,24,26
1,7/2/2021 0:30,4/21/2020,35,23
1,7/2/2021 0:30,4/22/2020,16,15
1,7/2/2021 0:30,4/23/2020,17,17
1,7/2/2021 0:30,4/24/2020,14,17
1,7/2/2021 0:30,4/25/2020,10,14
1,7/2/2021 0:30,4/26/2020,12,13
1,7/2/2021 0:30,4/27/2020,12,14
1,7/2/2021 0:30,4/28/2020,20,14
1,7/2/2021 0:30,4/29/2020,16,12
1,7/2/2021 0:30,4/30/2020,11,17
1,7/2/2021 0:30,5/1/2020,11,9
1,7/2/2021 0:30,5/2/2020,6,9
1,7/2/2021 0:30,5/3/2020,7,11
1,7/2/2021 0:30,5/4/2020,16,11
1,7/2/2021 0:30,5/5/2020,7,3
1,7/2/2021 0:30,5/6/2020,7,6
1,7/2/2021 0:30,5/7/2020,8,9
1,7/2/2021 0:30,5/8/2020,5,7
1,7/2/2021 0:30,5/9/2020,5,5
1,7/2/2021 0:30,5/10/2020,2,4
1,7/2/2021 0:30,5/11/2020,10,7
1,7/2/2021 0:30,5/12/2020,5,2
1,7/2/2021 0:30,5/13/2020,5,3
1,7/2/2021 0:30,5/14/2020,4,8
1,7/2/2021 0:30,5/15/2020,3,3
1,7/2/2021 0:30,5/16/2020,4,7
1,7/2/2021 0:30,5/17/2020,6,4
1,7/2/2021 0:30,5/18/2020,2,4
1,7/2/2021 0:30,5/19/2020,12,1
1,7/2/2021 0:30,5/20/2020,3,3
1,7/2/2021 0:30,5/21/2020,1,2
1,7/2/2021 0:30,5/22/2020,3,4
1,7/2/2021 0:30,5/23/2020,5,4
1,7/2/2021 0:30,5/24/2020,4,7
1,7/2/2021 0:30,5/25/2020,6,1
