Date_of_report,Date_of_statistic_reported,Security_region_code,Security_region_name,Total_cases_reported,Total_deceased_reported,Total_new_infected_locations_reported,Total_infected_locations_reported
7/2/2021 10:00,2/27/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,2/28/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,2/29/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/1/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/2/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/3/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/4/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/5/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/6/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/7/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/8/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/9/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/10/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/11/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/12/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/13/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/14/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/15/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/16/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/17/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/18/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/19/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/20/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/21/2020,VR01,Groningen,1,0,0,0
7/2/2021 10:00,3/22/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,3/23/2020,VR01,Groningen,0,0,1,1
7/2/2021 10:00,3/24/2020,VR01,Groningen,1,0,0,1
7/2/2021 10:00,3/25/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,3/26/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,3/27/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,3/28/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,3/29/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,3/30/2020,VR01,Groningen,3,0,0,1
7/2/2021 10:00,3/31/2020,VR01,Groningen,0,0,3,4
7/2/2021 10:00,4/1/2020,VR01,Groningen,0,0,0,4
7/2/2021 10:00,4/2/2020,VR01,Groningen,0,0,0,4
7/2/2021 10:00,4/3/2020,VR01,Groningen,0,1,0,4
7/2/2021 10:00,4/4/2020,VR01,Groningen,1,0,0,4
7/2/2021 10:00,4/5/2020,VR01,Groningen,0,0,0,4
7/2/2021 10:00,4/6/2020,VR01,Groningen,2,0,0,4
7/2/2021 10:00,4/7/2020,VR01,Groningen,1,0,1,5
7/2/2021 10:00,4/8/2020,VR01,Groningen,1,0,1,6
7/2/2021 10:00,4/9/2020,VR01,Groningen,1,0,0,6
7/2/2021 10:00,4/10/2020,VR01,Groningen,1,0,0,6
7/2/2021 10:00,4/11/2020,VR01,Groningen,0,0,1,7
7/2/2021 10:00,4/12/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,4/13/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,4/14/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,4/15/2020,VR01,Groningen,0,1,0,7
7/2/2021 10:00,4/16/2020,VR01,Groningen,0,1,0,7
7/2/2021 10:00,4/17/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,4/18/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,4/19/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,4/20/2020,VR01,Groningen,0,0,0,7
7/2/2021 10:00,4/21/2020,VR01,Groningen,0,0,0,6
7/2/2021 10:00,4/22/2020,VR01,Groningen,0,1,0,6
7/2/2021 10:00,4/23/2020,VR01,Groningen,1,0,0,5
7/2/2021 10:00,4/24/2020,VR01,Groningen,1,0,1,6
7/2/2021 10:00,4/25/2020,VR01,Groningen,0,0,0,6
7/2/2021 10:00,4/26/2020,VR01,Groningen,0,0,0,6
7/2/2021 10:00,4/27/2020,VR01,Groningen,0,0,0,5
7/2/2021 10:00,4/28/2020,VR01,Groningen,0,0,0,5
7/2/2021 10:00,4/29/2020,VR01,Groningen,0,0,0,5
7/2/2021 10:00,4/30/2020,VR01,Groningen,1,0,0,5
7/2/2021 10:00,5/1/2020,VR01,Groningen,0,0,0,4
7/2/2021 10:00,5/2/2020,VR01,Groningen,0,0,0,3
7/2/2021 10:00,5/3/2020,VR01,Groningen,0,0,0,3
7/2/2021 10:00,5/4/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,5/5/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,5/6/2020,VR01,Groningen,0,0,0,2
7/2/2021 10:00,5/7/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/8/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/9/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/10/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/11/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/12/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/13/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/14/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/15/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/16/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/17/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/18/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/19/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/20/2020,VR01,Groningen,0,0,0,1
7/2/2021 10:00,5/21/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/22/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/23/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/24/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/25/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/26/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/27/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/28/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/29/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/30/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,5/31/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/1/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/2/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/3/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/4/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/5/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/6/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/7/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/8/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/9/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/10/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/11/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/12/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/13/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/14/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/15/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/16/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/17/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/18/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/19/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/20/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/21/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/22/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/23/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/24/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/25/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/26/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/27/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/28/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/29/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,6/30/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/1/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/2/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/3/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/4/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/5/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/6/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/7/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/8/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/9/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/10/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/11/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/12/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/13/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/14/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/15/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/16/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/17/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/18/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/19/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/20/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/21/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/22/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/23/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/24/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/25/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/26/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/27/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/28/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/29/2020,VR01,Groningen,0,0,0,0
7/2/2021 10:00,7/30/2020,VR01,Groningen,0,0,0,0
