Version,Date_measurement,RWZI_AWZI_code,RWZI_AWZI_name,RNA_per_ml,RNA_flow_per_100000
1,3/30/2020,32002,Tilburg,1837,
1,3/31/2020,3010,Assen,2254,
1,3/31/2020,1033,Garmerwolde,427,
1,3/31/2020,2032,Harlingen,869,
1,3/31/2020,2011,Leeuwarden,424,
1,3/31/2020,1008,Stadskanaal,200,
1,3/31/2020,10009,Utrecht,1826,
1,3/31/2020,4026,Zwolle,890,
1,4/1/2020,9016,Arnhem,984,
1,4/1/2020,7022,Etten,2493,
1,4/1/2020,13010,Haarlem Waarderpolder,1606,
1,4/1/2020,25020,Kaatsheuvel,2025,
1,4/1/2020,25027,Lage Zwaluwe,883,
1,4/1/2020,13030,Leimuiden,1642,
1,4/1/2020,5012,Oldenzaal,1611,
1,4/1/2020,3028,Sleen,721,
1,4/1/2020,23002,Terneuzen,732,
1,4/2/2020,12022,Beverwijk,1041,
1,4/2/2020,30007,Bosscherveld,4350,
1,4/2/2020,30020,Venray,1802,
1,4/5/2020,10027,Amersfoort,1344,
1,4/5/2020,27008,'S Hertogenbosch,1689,
1,4/5/2020,29003,Land Van Cuijk,4264,
1,4/5/2020,6004,Lelystad,729,
1,4/5/2020,23002,Terneuzen,1336,
1,4/5/2020,4027,Tollebeek,1668,
1,4/6/2020,28005,Dinther,3224,
1,4/6/2020,32002,Tilburg,222,
1,4/7/2020,9016,Arnhem,175,
1,4/7/2020,3010,Assen,74,
1,4/7/2020,1033,Garmerwolde,951,
1,4/7/2020,13010,Haarlem Waarderpolder,1546,
1,4/7/2020,2032,Harlingen,321,
1,4/7/2020,2011,Leeuwarden,903,
1,4/7/2020,13030,Leimuiden,870,
1,4/7/2020,1008,Stadskanaal,37,
1,4/7/2020,10009,Utrecht,1484,
1,4/7/2020,21001,Walcheren,1053,
1,4/7/2020,4026,Zwolle,1844,
1,4/8/2020,12022,Beverwijk,1093,
1,4/8/2020,7022,Etten,2199,
1,4/8/2020,25020,Kaatsheuvel,1585,
1,4/8/2020,25027,Lage Zwaluwe,1990,
1,4/8/2020,6004,Lelystad,1658,
1,4/8/2020,30007,Bosscherveld,4706,
1,4/8/2020,5012,Oldenzaal,785,
1,4/8/2020,3028,Sleen,128,
1,4/8/2020,4027,Tollebeek,1858,
1,4/8/2020,30020,Venray,991,
1,4/9/2020,27008,'S Hertogenbosch,820,
1,4/9/2020,28005,Dinther,1913,
1,4/10/2020,9016,Arnhem,892,
1,4/13/2020,10027,Amersfoort,815,
1,4/13/2020,1033,Garmerwolde,75,
1,4/13/2020,13010,Haarlem Waarderpolder,271,
1,4/13/2020,15005,Houtrust,797,
1,4/13/2020,29003,Land Van Cuijk,3663,
1,4/13/2020,13030,Leimuiden,485,
1,4/13/2020,32002,Tilburg,2538,
1,4/14/2020,3010,Assen,18,
1,4/14/2020,2011,Leeuwarden,58,
1,4/14/2020,1008,Stadskanaal,146,
1,4/14/2020,10009,Utrecht,552,
1,4/14/2020,21001,Walcheren,168,
1,4/14/2020,4026,Zwolle,757,
1,4/15/2020,12022,Beverwijk,332,
1,4/15/2020,7022,Etten,711,
1,4/15/2020,29003,Land Van Cuijk,593,
1,4/15/2020,6004,Lelystad,476,
1,4/15/2020,30007,Bosscherveld,972,
1,4/15/2020,5012,Oldenzaal,394,
1,4/15/2020,3028,Sleen,37,
1,4/15/2020,4027,Tollebeek,1217,
1,4/15/2020,30020,Venray,395,
1,4/16/2020,27008,'S Hertogenbosch,632,
1,4/16/2020,28005,Dinther,808,
1,4/16/2020,25020,Kaatsheuvel,253,
1,4/16/2020,25027,Lage Zwaluwe,390,
1,4/16/2020,23002,Terneuzen,86,
1,4/17/2020,9016,Arnhem,32,
1,4/19/2020,10027,Amersfoort,293,
1,4/19/2020,13030,Leimuiden,312,
1,4/20/2020,13010,Haarlem Waarderpolder,91,
1,4/20/2020,15005,Houtrust,245,
1,4/20/2020,32002,Tilburg,412,
1,4/21/2020,3010,Assen,37,
1,4/21/2020,2032,Harlingen,1050,
1,4/21/2020,2011,Leeuwarden,114,
1,4/21/2020,6004,Lelystad,490,
1,4/21/2020,1008,Stadskanaal,63,
1,4/21/2020,23002,Terneuzen,485,
1,4/21/2020,10009,Utrecht,347,
1,4/21/2020,4026,Zwolle,277,
1,4/22/2020,12022,Beverwijk,173,
1,4/22/2020,7022,Etten,1250,
1,4/22/2020,1033,Garmerwolde,372,
1,4/22/2020,25020,Kaatsheuvel,420,
1,4/22/2020,25027,Lage Zwaluwe,233,
1,4/22/2020,30007,Bosscherveld,861,
1,4/22/2020,5012,Oldenzaal,174,
1,4/22/2020,3028,Sleen,4083,
1,4/22/2020,30020,Venray,564,
1,4/22/2020,21001,Walcheren,82,
1,4/23/2020,27008,'S Hertogenbosch,532,
1,4/23/2020,28005,Dinther,1698,
1,4/23/2020,29003,Land Van Cuijk,751,
1,4/23/2020,4027,Tollebeek,9475,
1,4/26/2020,13010,Haarlem Waarderpolder,135,
1,4/27/2020,10027,Amersfoort,526,
1,4/27/2020,15005,Houtrust,447,
1,4/27/2020,13030,Leimuiden,419,
1,4/27/2020,6004,Lelystad,439,
1,4/27/2020,32002,Tilburg,561,
1,4/28/2020,9016,Arnhem,80,
1,4/28/2020,3010,Assen,52,
1,4/28/2020,2032,Harlingen,93,
1,4/28/2020,29003,Land Van Cuijk,607,
1,4/28/2020,2011,Leeuwarden,119,
1,4/28/2020,1008,Stadskanaal,26,
1,4/28/2020,23002,Terneuzen,723,
