"date","region_municipality_code","weeknumber","RNA_value","municipality_name","Security_region_name","sum_population","Total_reported","Hospital_admission","Deceased","population","reported_norm","hospital_norm","deceased_norm"
2020-09-07,"VR01","37",1450370755290.48,"Groningen","Groningen",281643297,148,0,0,4098759,0.0525487386266466,0,0
2020-09-07,"VR02","37",2984978355785.71,"Fryslân","Fryslân",312629317,44,1,0,4549699,0.0140741759033431,0.000319867634166888,0
2020-09-07,"VR03","37",1023457164147.62,"Drenthe","Drenthe",237461042,31,0,0,3455774,0.0130547730014593,0,0
2020-09-07,"VR04","37",748872221305.263,"IJsselland","IJsselland",255575502,74,0,0,3719394,0.0289542618212289,0,0
2020-09-07,"VR05","37",2447498559437.5,"Twente","Twente",303541784,92,1,0,4417448,0.0303088420933838,0.00032944393579765,0
2020-09-07,"VR06","37",3768239067894.74,"Noord- en Oost-Gelderland","Noord- en Oost-Gelderland",398138611,143,3,0,5794117,0.0359171394205723,0.000753506421410608,0
2020-09-07,"VR07","37",2155936895437.5,"Gelderland-Midden","Gelderland-Midden",335076625,189,2,2,4876375,0.056405008854318,0.000596878400574794,0.000596878400574794
2020-09-07,"VR08","37",4712197928062.5,"Gelderland-Zuid","Gelderland-Zuid",270127676,255,2,0,3931172,0.0943998052239564,0.000740390629207501,0
2020-09-07,"VR09","37",5362707308379.31,"Utrecht","Utrecht",651675154,605,4,0,9483838,0.0928376655587517,0.000613802747495879,0
2020-09-07,"VR10","37",3551942481500,"Noord-Holland-Noord","Noord-Holland-Noord",318781788,117,0,0,4639236,0.036702222148274,0,0
2020-09-07,"VR11","37",2206204563428.57,"Zaanstreek-Waterland","Zaanstreek-Waterland",163146542,138,2,0,2374274,0.0845865308012474,0.00122589175074272,0
2020-09-07,"VR12","37",3358682399909.09,"Kennemerland","Kennemerland",264524507,305,4,1,3849629,0.115301226135543,0.00151214722800712,0.00037803680700178
2020-09-07,"VR13","37",12282847382700,"Amsterdam-Amstelland","Amsterdam-Amstelland",934742692,1298,18,2,13603324,0.138861743569534,0.00192566362423083,0.000213962624914536
2020-09-07,"VR14","37",NA,"Gooi en Vechtstreek","Gooi en Vechtstreek",123653075,113,1,0,1799525,0.0913847067693222,0.000808714219197541,0
2020-09-07,"VR15","37",8869543522000,"Haaglanden","Haaglanden",537291911,1098,10,2,7819217,0.204358185470617,0.00186118566002383,0.000372237132004766
2020-09-07,"VR16","37",2623329420705.88,"Hollands-Midden","Hollands-Midden",389061660,344,0,1,5662020,0.0884178615800899,0,0.000257028667383982
2020-09-07,"VR17","37",5940603457227.27,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,997,18,0,9264038,0.15662020718563,0.00282764666934939,0
2020-09-07,"VR18","37",6821982671000,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,188,2,1,3215597,0.0850842545246415,0.000905151643879165,0.000452575821939582
2020-09-07,"VR19","37",1199134053142.86,"Zeeland","Zeeland",184457728,47,0,0,2684416,0.0254800926529898,0,0
2020-09-07,"VR20","37",4355772125136.36,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,328,1,0,7833609,0.0609347335741262,0.000185776626750385,0
2020-09-07,"VR21","37",1419872848375,"Brabant-Noord","Brabant-Noord",312114647,147,0,0,4542209,0.047098078034127,0,0
2020-09-07,"VR22","37",3079706999333.33,"Brabant-Zuidoost","Brabant-Zuidoost",375473891,232,0,0,5464277,0.0617885838565537,0,0
2020-09-07,"VR23","37",1355243777777.78,"Limburg-Noord","Limburg-Noord",250128177,91,1,1,3640119,0.0363813469923462,0.000399795021893915,0.000399795021893915
2020-09-07,"VR24","37",1144263111111.11,"Limburg-Zuid","Limburg-Zuid",287245504,114,0,0,4180288,0.0396873052536969,0,0
2020-09-07,"VR25","37",13393045992000,"Flevoland","Flevoland",203473101,152,1,1,2961147,0.0747027490380657,0.000491465454197801,0.000491465454197801
2020-09-14,"VR01","38",2240062689500,"Groningen","Groningen",281643297,296,0,0,4098759,0.105097477253293,0,0
2020-09-14,"VR02","38",1449077281255.17,"Fryslân","Fryslân",312629317,167,1,0,4549699,0.0534178949058703,0.000319867634166888,0
2020-09-14,"VR03","38",1819319577015.38,"Drenthe","Drenthe",237461042,95,1,0,3455774,0.040006562423827,0.000421121709724495,0
2020-09-14,"VR04","38",3807610133546.15,"IJsselland","IJsselland",255575502,157,0,0,3719394,0.0614299879180126,0,0
2020-09-14,"VR05","38",3565638768009.52,"Twente","Twente",303541784,206,3,0,4417448,0.0678654507743158,0.000988331807392949,0
2020-09-14,"VR06","38",2691341799428.57,"Noord- en Oost-Gelderland","Noord- en Oost-Gelderland",398138611,277,4,1,5794117,0.0695737595769128,0.00100467522854748,0.000251168807136869
2020-09-14,"VR07","38",2252461791235.29,"Gelderland-Midden","Gelderland-Midden",335076625,293,1,0,4876375,0.0874426856842073,0.000298439200287397,0
2020-09-14,"VR08","38",4835113371791.67,"Gelderland-Zuid","Gelderland-Zuid",270127676,381,5,0,3931172,0.141044414864029,0.00185097657301875,0
2020-09-14,"VR09","38",18182664815148.1,"Utrecht","Utrecht",651675154,954,10,0,9483838,0.146391955277767,0.0015345068687397,0
2020-09-14,"VR10","38",4891646448454.55,"Noord-Holland-Noord","Noord-Holland-Noord",318781788,213,2,0,4639236,0.0668168659622425,0.000627388412791009,0
2020-09-14,"VR11","38",10123009504750,"Zaanstreek-Waterland","Zaanstreek-Waterland",163146542,219,4,1,2374274,0.134235146706327,0.00245178350148543,0.000612945875371358
2020-09-14,"VR12","38",6444580691923.08,"Kennemerland","Kennemerland",264524507,390,5,4,3849629,0.147434354730694,0.0018901840350089,0.00151214722800712
2020-09-14,"VR13","38",1606367409600,"Amsterdam-Amstelland","Amsterdam-Amstelland",934742692,2115,21,3,13603324,0.226265475847122,0.00224660756160263,0.000320943937371805
2020-09-14,"VR14","38",5976051809000,"Gooi en Vechtstreek","Gooi en Vechtstreek",123653075,209,1,0,1799525,0.169021271812286,0.000808714219197541,0
2020-09-14,"VR15","38",15111848210000,"Haaglanden","Haaglanden",537291911,1528,18,4,7819217,0.284389168851641,0.00335013418804289,0.000744474264009532
2020-09-14,"VR16","38",6943691670241.38,"Hollands-Midden","Hollands-Midden",389061660,630,6,2,5662020,0.161928060451909,0.00154217200430389,0.000514057334767964
2020-09-14,"VR17","38",9272865981083.33,"Rotterdam-Rijnmond","Rotterdam-Rijnmond",636571754,1512,26,3,9264038,0.237522320225349,0.00408437852239356,0.000471274444891565
2020-09-14,"VR18","38",10351321262909.1,"Zuid-Holland-Zuid","Zuid-Holland-Zuid",220957451,303,3,3,3215597,0.137130474047693,0.00135772746581875,0.00135772746581875
2020-09-14,"VR19","38",4949013186200,"Zeeland","Zeeland",184457728,90,1,0,2684416,0.048791666782321,0.000542129630914678,0
2020-09-14,"VR20","38",4954305208192,"Midden- en West-Brabant","Midden- en West-Brabant",538280847,409,4,0,7833609,0.0759826403409074,0.000743106507001539,0
2020-09-14,"VR21","38",2966428899900,"Brabant-Noord","Brabant-Noord",312114647,298,0,0,4542209,0.0954777364229241,0,0
2020-09-14,"VR22","38",5172076514125,"Brabant-Zuidoost","Brabant-Zuidoost",375473891,341,1,1,5464277,0.0908185650650207,0.000266330102829973,0.000266330102829973
