"date","region_municipality_code","weeknumber","RNA_value","municipality_name","population","Total_reported","Hospital_admission","Deceased","reported_norm","hospital_norm","deceased_norm"
2020-09-07,"GM0014","37",590296693033.333,"Groningen",232874,102,0,0,43.8005101471182,0,0
2020-09-07,"GM0034","37",1.80996e+13,"Almere",211893,125,1,1,58.9920384344929,0.471936307475943,0.471936307475943
2020-09-07,"GM0037","37",0,"Stadskanaal",31686,1,0,0,3.15596793536578,0,0
2020-09-07,"GM0047","37",763347290000,"Veendam",27384,5,0,0,18.2588372772422,0,0
2020-09-07,"GM0050","37",2333148000,"Zeewolde",22653,7,0,0,30.900984417075,0,0
2020-09-07,"GM0059","37",56161200000,"Achtkarspelen",27843,3,0,0,10.7747010020472,0,0
2020-09-07,"GM0060","37",0,"Ameland",3716,0,0,0,0,0,0
2020-09-07,"GM0072","37",1625763072000,"Harlingen",15722,1,0,0,6.36051392952551,0,0
2020-09-07,"GM0074","37",375360934000,"Heerenveen",50493,6,0,0,11.8828352444893,0,0
2020-09-07,"GM0080","37",1315602846625,"Leeuwarden",124084,17,0,0,13.700396505593,0,0
2020-09-07,"GM0085","37",95406000,"Ooststellingwerf",25469,0,0,0,0,0,0
2020-09-07,"GM0086","37",61611049833.3333,"Opsterland",29733,3,0,0,10.0897992129957,0,0
2020-09-07,"GM0088","37",0,"Schiermonnikoog",947,0,0,0,0,0,0
2020-09-07,"GM0090","37",391967142600,"Smallingerland",56150,3,0,0,5.34283170080143,0,0
2020-09-07,"GM0093","37",0,"Terschelling",4888,0,0,0,0,0,0
2020-09-07,"GM0096","37",0,"Vlieland",1155,0,0,0,0,0,0
2020-09-07,"GM0098","37",2331684000,"Weststellingwerf",25914,0,0,0,0,0,0
2020-09-07,"GM0106","37",1097623860000,"Assen",68599,11,0,0,16.0352191722911,0,0
2020-09-07,"GM0109","37",240784671777.778,"Coevorden",35297,0,0,0,0,0,0
2020-09-07,"GM0114","37",1054319475000,"Emmen",107048,9,0,0,8.40744338988118,0,0
2020-09-07,"GM0118","37",27962773360,"Hoogeveen",55699,1,0,0,1.79536436919873,0,0
2020-09-07,"GM0119","37",1221667880,"Meppel",33920,0,0,0,0,0,0
2020-09-07,"GM0141","37",5719724671000,"Almelo",73107,7,0,0,9.57500649732584,0,0
2020-09-07,"GM0147","37",1601691063000,"Borne",23312,1,0,0,4.28963623884695,0,0
2020-09-07,"GM0148","37",447409598000,"Dalfsen",28587,0,0,0,0,0,0
2020-09-07,"GM0150","37",34020032000,"Deventer",100719,17,0,0,16.8786425599936,0,0
2020-09-07,"GM0153","37",1063416068400,"Enschede",159640,40,0,0,25.0563768479078,0,0
2020-09-07,"GM0158","37",NA,"Haaksbergen",24311,3,0,0,12.3400929620336,0,0
2020-09-07,"GM0160","37",77115099733.3333,"Hardenberg",60948,0,0,0,0,0,0
2020-09-07,"GM0163","37",45247110500,"Hellendoorn",35916,0,0,0,0,0,0
2020-09-07,"GM0164","37",5486162472000,"Hengelo",81140,14,1,0,17.2541286665023,1.23243776189302,0
2020-09-07,"GM0166","37",523119240000,"Kampen",54319,19,0,0,34.9785526243119,0,0
2020-09-07,"GM0168","37",0,"Losser",22683,5,0,0,22.0429396464312,0,0
2020-09-07,"GM0171","37",27663729880000,"Noordoostpolder",47291,3,0,0,6.34370176143452,0,0
2020-09-07,"GM0173","37",0,"Oldenzaal",31836,3,0,0,9.42329438371655,0,0
2020-09-07,"GM0175","37",29023915500,"Ommen",18009,5,0,0,27.7638958298628,0,0
2020-09-07,"GM0177","37",676387839500,"Raalte",37712,2,0,0,5.30335171828596,0,0
2020-09-07,"GM0180","37",0,"Staphorst",17145,1,0,0,5.83260425780111,0,0
2020-09-07,"GM0183","37",290410981000,"Tubbergen",21275,1,0,0,4.70035252643948,0,0
2020-09-07,"GM0184","37",12330670080000,"Urk",21031,0,0,0,0,0,0
2020-09-07,"GM0189","37",375420870000,"Wierden",24446,7,0,0,28.6345414382721,0,0
2020-09-07,"GM0193","37",572691410750,"Zwolle",128840,26,0,0,20.1800683017696,0,0
2020-09-07,"GM0197","37",1190900689000,"Aalten",27121,3,0,0,11.0615390287969,0,0
2020-09-07,"GM0200","37",1020100748666.67,"Apeldoorn",163818,27,0,0,16.4817053071091,0,0
2020-09-07,"GM0202","37",2921941054500,"Arnhem",161348,46,2,0,28.50980489377,1.23955673451174,0
2020-09-07,"GM0203","37",1239606032333.33,"Barneveld",59082,5,0,2,8.46281439355472,0,3.38512575742189
